i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 993;
i = 1; circleRadius = 20; xCoordinate = 873;
i = 2; circleRadius = 20; xCoordinate = 1413;
i = 3; circleRadius = 20; xCoordinate = 1419;
i = 4; circleRadius = 20; xCoordinate = 441;
i = 5; circleRadius = 20; xCoordinate = 1375;
i = 6; circleRadius = 20; xCoordinate = 668;
i = 7; circleRadius = 20; xCoordinate = 1194;
i = 8; circleRadius = 20; xCoordinate = 629;
i = 9; circleRadius = 20; xCoordinate = 440;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1008;
i = 1; circleRadius = 20; xCoordinate = 871;
i = 2; circleRadius = 20; xCoordinate = 1414;
i = 3; circleRadius = 20; xCoordinate = 1418;
i = 4; circleRadius = 20; xCoordinate = 445;
i = 5; circleRadius = 20; xCoordinate = 1374;
i = 6; circleRadius = 20; xCoordinate = 668;
i = 7; circleRadius = 20; xCoordinate = 1190;
i = 8; circleRadius = 20; xCoordinate = 627;
i = 9; circleRadius = 20; xCoordinate = 443;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1024;
i = 1; circleRadius = 20; xCoordinate = 869;
i = 2; circleRadius = 20; xCoordinate = 1416;
i = 3; circleRadius = 20; xCoordinate = 1418;
i = 4; circleRadius = 20; xCoordinate = 450;
i = 5; circleRadius = 20; xCoordinate = 1374;
i = 6; circleRadius = 20; xCoordinate = 668;
i = 7; circleRadius = 20; xCoordinate = 1185;
i = 8; circleRadius = 20; xCoordinate = 626;
i = 9; circleRadius = 20; xCoordinate = 447;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1041;
i = 1; circleRadius = 20; xCoordinate = 868;
i = 2; circleRadius = 20; xCoordinate = 1418;
i = 3; circleRadius = 20; xCoordinate = 1419;
i = 4; circleRadius = 20; xCoordinate = 455;
i = 5; circleRadius = 20; xCoordinate = 1375;
i = 6; circleRadius = 20; xCoordinate = 667;
i = 7; circleRadius = 20; xCoordinate = 1179;
i = 8; circleRadius = 20; xCoordinate = 626;
i = 9; circleRadius = 20; xCoordinate = 450;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1059;
i = 1; circleRadius = 20; xCoordinate = 867;
i = 2; circleRadius = 20; xCoordinate = 1419;
i = 3; circleRadius = 20; xCoordinate = 1420;
i = 4; circleRadius = 20; xCoordinate = 461;
i = 5; circleRadius = 20; xCoordinate = 1375;
i = 6; circleRadius = 20; xCoordinate = 665;
i = 7; circleRadius = 20; xCoordinate = 1172;
i = 8; circleRadius = 20; xCoordinate = 627;
i = 9; circleRadius = 20; xCoordinate = 454;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1078;
i = 1; circleRadius = 20; xCoordinate = 866;
i = 2; circleRadius = 20; xCoordinate = 1419;
i = 3; circleRadius = 20; xCoordinate = 1422;
i = 4; circleRadius = 20; xCoordinate = 467;
i = 5; circleRadius = 20; xCoordinate = 1375;
i = 6; circleRadius = 20; xCoordinate = 663;
i = 7; circleRadius = 20; xCoordinate = 1165;
i = 8; circleRadius = 20; xCoordinate = 627;
i = 9; circleRadius = 20; xCoordinate = 458;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1098;
i = 1; circleRadius = 20; xCoordinate = 866;
i = 2; circleRadius = 20; xCoordinate = 1419;
i = 3; circleRadius = 20; xCoordinate = 1424;
i = 4; circleRadius = 20; xCoordinate = 472;
i = 5; circleRadius = 20; xCoordinate = 1376;
i = 6; circleRadius = 20; xCoordinate = 662;
i = 7; circleRadius = 20; xCoordinate = 1158;
i = 8; circleRadius = 20; xCoordinate = 628;
i = 9; circleRadius = 20; xCoordinate = 462;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1119;
i = 1; circleRadius = 20; xCoordinate = 866;
i = 2; circleRadius = 20; xCoordinate = 1419;
i = 3; circleRadius = 20; xCoordinate = 1427;
i = 4; circleRadius = 20; xCoordinate = 477;
i = 5; circleRadius = 20; xCoordinate = 1377;
i = 6; circleRadius = 20; xCoordinate = 661;
i = 7; circleRadius = 20; xCoordinate = 1152;
i = 8; circleRadius = 20; xCoordinate = 629;
i = 9; circleRadius = 20; xCoordinate = 466;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1141;
i = 1; circleRadius = 20; xCoordinate = 866;
i = 2; circleRadius = 20; xCoordinate = 1418;
i = 3; circleRadius = 20; xCoordinate = 1429;
i = 4; circleRadius = 20; xCoordinate = 483;
i = 5; circleRadius = 20; xCoordinate = 1379;
i = 6; circleRadius = 20; xCoordinate = 659;
i = 7; circleRadius = 20; xCoordinate = 1146;
i = 8; circleRadius = 20; xCoordinate = 631;
i = 9; circleRadius = 20; xCoordinate = 471;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1164;
i = 1; circleRadius = 20; xCoordinate = 867;
i = 2; circleRadius = 20; xCoordinate = 1418;
i = 3; circleRadius = 20; xCoordinate = 1431;
i = 4; circleRadius = 20; xCoordinate = 489;
i = 5; circleRadius = 20; xCoordinate = 1381;
i = 6; circleRadius = 20; xCoordinate = 656;
i = 7; circleRadius = 20; xCoordinate = 1140;
i = 8; circleRadius = 20; xCoordinate = 634;
i = 9; circleRadius = 20; xCoordinate = 476;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1186;
i = 1; circleRadius = 20; xCoordinate = 869;
i = 2; circleRadius = 20; xCoordinate = 1418;
i = 3; circleRadius = 20; xCoordinate = 1433;
i = 4; circleRadius = 20; xCoordinate = 495;
i = 5; circleRadius = 20; xCoordinate = 1382;
i = 6; circleRadius = 20; xCoordinate = 653;
i = 7; circleRadius = 20; xCoordinate = 1134;
i = 8; circleRadius = 20; xCoordinate = 636;
i = 9; circleRadius = 20; xCoordinate = 482;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1207;
i = 1; circleRadius = 20; xCoordinate = 870;
i = 2; circleRadius = 20; xCoordinate = 1419;
i = 3; circleRadius = 20; xCoordinate = 1436;
i = 4; circleRadius = 20; xCoordinate = 501;
i = 5; circleRadius = 20; xCoordinate = 1384;
i = 6; circleRadius = 20; xCoordinate = 651;
i = 7; circleRadius = 20; xCoordinate = 1128;
i = 8; circleRadius = 20; xCoordinate = 638;
i = 9; circleRadius = 20; xCoordinate = 488;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1227;
i = 1; circleRadius = 20; xCoordinate = 871;
i = 2; circleRadius = 20; xCoordinate = 1420;
i = 3; circleRadius = 20; xCoordinate = 1439;
i = 4; circleRadius = 20; xCoordinate = 507;
i = 5; circleRadius = 20; xCoordinate = 1387;
i = 6; circleRadius = 20; xCoordinate = 649;
i = 7; circleRadius = 20; xCoordinate = 1123;
i = 8; circleRadius = 20; xCoordinate = 639;
i = 9; circleRadius = 20; xCoordinate = 495;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1246;
i = 1; circleRadius = 20; xCoordinate = 872;
i = 2; circleRadius = 20; xCoordinate = 1422;
i = 3; circleRadius = 20; xCoordinate = 1441;
i = 4; circleRadius = 20; xCoordinate = 513;
i = 5; circleRadius = 20; xCoordinate = 1391;
i = 6; circleRadius = 20; xCoordinate = 648;
i = 7; circleRadius = 20; xCoordinate = 1119;
i = 8; circleRadius = 20; xCoordinate = 639;
i = 9; circleRadius = 20; xCoordinate = 501;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1264;
i = 1; circleRadius = 20; xCoordinate = 872;
i = 2; circleRadius = 20; xCoordinate = 1424;
i = 3; circleRadius = 20; xCoordinate = 1444;
i = 4; circleRadius = 20; xCoordinate = 518;
i = 5; circleRadius = 20; xCoordinate = 1395;
i = 6; circleRadius = 20; xCoordinate = 647;
i = 7; circleRadius = 20; xCoordinate = 1115;
i = 8; circleRadius = 20; xCoordinate = 639;
i = 9; circleRadius = 20; xCoordinate = 506;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 1281;
i = 1; circleRadius = 20; xCoordinate = 873;
i = 2; circleRadius = 20; xCoordinate = 1426;
i = 3; circleRadius = 20; xCoordinate = 1447;
i = 4; circleRadius = 20; xCoordinate = 522;
i = 5; circleRadius = 20; xCoordinate = 1399;
i = 6; circleRadius = 20; xCoordinate = 647;
i = 7; circleRadius = 20; xCoordinate = 1112;
i = 8; circleRadius = 20; xCoordinate = 640;
i = 9; circleRadius = 20; xCoordinate = 511;
